system,config,ef_search,recall_10,qps_1t,latency_mean_us,latency_p50_us,latency_p99_us
CP_HNSW_CPU,M32_K16,10,0.09914,18195.3,54.9594,51.429,108.057
CP_HNSW_CPU,M32_K16,20,0.10933,12290.3,81.3652,76.686,153.332
CP_HNSW_CPU,M32_K16,40,0.11513,7387.31,135.367,128.824,236.16
CP_HNSW_CPU,M32_K16,80,0.1169,4670.49,214.11,204.687,364.177
CP_HNSW_CPU,M32_K16,100,0.11723,3647.73,274.143,260.254,464.47
CP_HNSW_CPU,M32_K16,200,0.11707,2007.13,498.223,480.922,792.347
CP_HNSW_CPU,M32_K16,400,0.11702,1144.28,873.913,847.894,1341.35
CP_HNSW_Rerank,M32_K16_rr50,10,0.26903,4226.09,236.625,231.461,382.666
CP_HNSW_Rerank,M32_K16_rr50,20,0.26959,4597.42,217.513,215.527,359.638
CP_HNSW_Rerank,M32_K16_rr50,40,0.26972,4287.43,233.24,227.455,375.628
CP_HNSW_Rerank,M32_K16_rr50,80,0.27183,3363.73,297.289,298.881,486.277
CP_HNSW_Rerank,M32_K16_rr50,100,0.27172,2963.53,337.435,339.848,551.39
CP_HNSW_Rerank,M32_K16_rr50,200,0.27034,1728.65,578.487,586.406,887.228
CP_HNSW_Rerank,M32_K16_rr50,400,0.26906,1050.44,951.983,944.411,1394.01
CP_HNSW_Rerank,M32_K16_rr100,10,0.36425,3055.99,327.226,313.094,519.25
CP_HNSW_Rerank,M32_K16_rr100,20,0.36459,3317.98,301.389,290.016,482.229
CP_HNSW_Rerank,M32_K16_rr100,40,0.36428,3326.45,300.621,285.576,489.746
CP_HNSW_Rerank,M32_K16_rr100,80,0.36441,2691.54,371.534,373.516,563.092
CP_HNSW_Rerank,M32_K16_rr100,100,0.36452,2729.25,366.4,372.84,568.266
CP_HNSW_Rerank,M32_K16_rr100,200,0.36363,1554.91,643.123,647.12,930.6
CP_HNSW_Rerank,M32_K16_rr100,400,0.36149,1104.25,905.596,875.596,1379.88
CP_HNSW_Rerank,M32_K16_rr200,10,0.46602,531.847,1880.24,1101.14,6870.05
CP_HNSW_Rerank,M32_K16_rr200,20,0.46596,527.112,1897.13,1113.61,6883.14
CP_HNSW_Rerank,M32_K16_rr200,40,0.46603,573.99,1742.19,1066.53,6741.42
CP_HNSW_Rerank,M32_K16_rr200,80,0.46588,588.304,1699.8,1030.12,6669.12
CP_HNSW_Rerank,M32_K16_rr200,100,0.46587,602.849,1658.79,1032.34,6241.05
CP_HNSW_Rerank,M32_K16_rr200,200,0.46592,623.767,1603.16,1022.33,6122.97
CP_HNSW_Rerank,M32_K16_rr200,400,0.4639,463.561,2157.21,1596.37,6408.72
