system,component,bytes,MB
CP_HNSW,Codes (K bytes),32000000,30.5176
CP_HNSW,Metadata,24000000,22.8882
CP_HNSW,Edges,448000000,427.246
CP_HNSW,Original Vectors,512000000,488.281
CP_HNSW,Index Only,504000000,480.652
CP_HNSW,With Orig Vectors,1016000000,968.933
CP_HNSW,RSS (measured),0,0
CP_HNSW,Faiss Vectors,512000000,488.281
CP_HNSW,Faiss Edges,896000000,854.492
CP_HNSW,Faiss Total,1408000000,1342.77
Faiss_HNSW,Vectors,512000000,488.281
Faiss_HNSW,Edges,896000000,854.492
Faiss_HNSW,Total,1408000000,1342.77
